
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=192000.0s] a=8477, e=0.2737, goal_e=0.1092, Fr=1.0000, Fs=0.7389, reward=-286.141
[t=204000.0s] a=8486, e=0.2754, goal_e=0.1092, Fr=0.5129, Fs=1.0000, reward=-450.392
[t=216000.0s] a=8477, e=0.2776, goal_e=0.1092, Fr=1.0000, Fs=1.0000, reward=-295.899
[t=228000.0s] a=8479, e=0.2794, goal_e=0.1092, Fr=0.2866, Fs=-1.0000, reward=-490.293
[t=240000.0s] a=8468, e=0.2825, goal_e=0.1092, Fr=0.2972, Fs=-0.2864, reward=-545.226
[t=252000.0s] a=8467, e=0.2849, goal_e=0.1092, Fr=1.0000, Fs=1.0000, reward=-353.672
[t=264000.0s] a=8468, e=0.2872, goal_e=0.1092, Fr=-1.0000, Fs=0.0841, reward=-555.600
[t=276000.0s] a=8472, e=0.2889, goal_e=0.1092, Fr=1.0000, Fs=-0.9371, reward=-537.701
[t=288000.0s] a=8464, e=0.2914, goal_e=0.1092, Fr=-1.0000, Fs=0.7773, reward=-580.563
[t=300000.0s] a=8454, e=0.2940, goal_e=0.1092, Fr=-0.5382, Fs=-1.0000, reward=-647.487
[t=312000.0s] a=8447, e=0.2967, goal_e=0.1092, Fr=0.4531, Fs=0.5924, reward=-699.492
[t=324000.0s] a=8457, e=0.2988, goal_e=0.1092, Fr=0.3816, Fs=1.0000, reward=-429.072
[t=336000.0s] a=8458, e=0.3000, goal_e=0.1092, Fr=-0.1346, Fs=-0.2473, reward=-623.267
[t=348000.0s] a=8457, e=0.3030, goal_e=0.1092, Fr=-0.8661, Fs=-0.4123, reward=-639.108
[t=360000.0s] a=8472, e=0.3045, goal_e=0.1092, Fr=-0.8172, Fs=0.3395, reward=-363.421
[t=372000.0s] a=8465, e=0.3062, goal_e=0.1092, Fr=-0.4989, Fs=-0.1150, reward=-594.712
[t=384000.0s] a=8465, e=0.3075, goal_e=0.1092, Fr=1.0000, Fs=-0.7990, reward=-599.762
[t=396000.0s] a=8462, e=0.3099, goal_e=0.1092, Fr=0.4862, Fs=1.0000, reward=-618.712
[t=408000.0s] a=8471, e=0.3119, goal_e=0.1092, Fr=-1.0000, Fs=-0.8294, reward=-579.480
[t=420000.0s] a=8480, e=0.3140, goal_e=0.1092, Fr=-0.3179, Fs=-0.8262, reward=-338.766
[t=432000.0s] a=8477, e=0.3161, goal_e=0.1092, Fr=1.0000, Fs=-0.1946, reward=-559.103
[t=444000.0s] a=8494, e=0.3174, goal_e=0.1092, Fr=-0.3882, Fs=-0.0668, reward=-272.853
[t=456000.0s] a=8486, e=0.3201, goal_e=0.1092, Fr=0.4485, Fs=-1.0000, reward=-526.358
[t=468000.0s] a=8491, e=0.3223, goal_e=0.1092, Fr=0.4835, Fs=-0.2388, reward=-509.442
[t=480000.0s] a=8495, e=0.3240, goal_e=0.1092, Fr=-0.0146, Fs=0.3756, reward=-301.283
[t=492000.0s] a=8499, e=0.3260, goal_e=0.1092, Fr=0.1751, Fs=0.0591, reward=-479.750
[t=504000.0s] a=8499, e=0.3282, goal_e=0.1092, Fr=1.0000, Fs=1.0000, reward=-307.000
[t=516000.0s] a=8504, e=0.3294, goal_e=0.1092, Fr=0.3639, Fs=-0.3737, reward=-508.512
[t=528000.0s] a=8501, e=0.3309, goal_e=0.1092, Fr=-1.0000, Fs=0.4144, reward=-511.019
[t=540000.0s] a=8506, e=0.3328, goal_e=0.1092, Fr=0.5316, Fs=-0.7708, reward=-519.781
[t=552000.0s] a=8503, e=0.3351, goal_e=0.1092, Fr=-0.7089, Fs=-0.3631, reward=-316.881
[t=564000.0s] a=8501, e=0.3363, goal_e=0.1092, Fr=-1.0000, Fs=0.4098, reward=-318.126
[t=576000.0s] a=8497, e=0.3372, goal_e=0.1092, Fr=-0.1674, Fs=-0.4674, reward=-318.218
[t=588000.0s] a=8499, e=0.3382, goal_e=0.1092, Fr=-0.7783, Fs=-0.7515, reward=-521.353
[t=600000.0s] a=8501, e=0.3396, goal_e=0.1092, Fr=-0.3459, Fs=0.7201, reward=-521.558
[t=612000.0s] a=8491, e=0.3414, goal_e=0.1092, Fr=-0.3692, Fs=-0.1495, reward=-514.117
[t=624000.0s] a=8497, e=0.3426, goal_e=0.1092, Fr=-0.8130, Fs=0.9830, reward=-327.531
[t=636000.0s] a=8485, e=0.3448, goal_e=0.1092, Fr=-1.0000, Fs=1.0000, reward=-560.712
[t=648000.0s] a=8504, e=0.3468, goal_e=0.1092, Fr=-0.6717, Fs=0.1167, reward=-312.500
[t=660000.0s] a=8497, e=0.3484, goal_e=0.1092, Fr=-1.0000, Fs=-0.2234, reward=-535.712
[t=672000.0s] a=8501, e=0.3504, goal_e=0.1092, Fr=0.1600, Fs=-1.0000, reward=-537.103
