
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=108000.0s] e=0.06, goal=0.20, Fr=-0.7781, Fs=0.0944, reward=-6.781
[t=120000.0s] e=0.06, goal=0.20, Fr=-0.5284, Fs=-0.8201, reward=-6.769
[t=132000.0s] e=0.06, goal=0.20, Fr=-0.1840, Fs=1.0000, reward=-6.775
[t=144000.0s] e=0.06, goal=0.20, Fr=-0.5621, Fs=-0.5734, reward=-6.789
[t=156000.0s] e=0.06, goal=0.20, Fr=0.7392, Fs=1.0000, reward=-6.826
[t=168000.0s] e=0.06, goal=0.20, Fr=1.0000, Fs=0.6387, reward=-6.834
[t=180000.0s] e=0.06, goal=0.20, Fr=-0.7950, Fs=0.6263, reward=-6.773
[t=192000.0s] e=0.06, goal=0.20, Fr=-0.5141, Fs=0.6931, reward=-6.775
[t=204000.0s] e=0.07, goal=0.20, Fr=0.4493, Fs=0.5718, reward=-6.744
[t=216000.0s] e=0.07, goal=0.20, Fr=0.9209, Fs=-0.5271, reward=-6.665
[t=228000.0s] e=0.07, goal=0.20, Fr=0.1262, Fs=1.0000, reward=-6.634
[t=240000.0s] e=0.07, goal=0.20, Fr=-0.9611, Fs=0.1632, reward=-6.584
[t=252000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=0.6304, reward=-6.560
[t=264000.0s] e=0.07, goal=0.20, Fr=0.7188, Fs=-1.0000, reward=-6.543
[t=276000.0s] e=0.07, goal=0.20, Fr=-0.3716, Fs=-0.0956, reward=-6.597
[t=288000.0s] e=0.07, goal=0.20, Fr=0.2495, Fs=0.7513, reward=-6.576
[t=300000.0s] e=0.07, goal=0.20, Fr=-0.2478, Fs=-0.6616, reward=-6.550
[t=312000.0s] e=0.07, goal=0.20, Fr=0.6159, Fs=-1.0000, reward=-6.561
[t=324000.0s] e=0.07, goal=0.20, Fr=-0.9799, Fs=1.0000, reward=-6.519
[t=336000.0s] e=0.07, goal=0.20, Fr=-0.0294, Fs=0.2797, reward=-6.517
[t=348000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=0.1617, reward=-6.509
[t=360000.0s] e=0.07, goal=0.20, Fr=0.0443, Fs=-1.0000, reward=-6.466
[t=372000.0s] e=0.07, goal=0.20, Fr=0.6266, Fs=-0.1206, reward=-6.452
[t=384000.0s] e=0.07, goal=0.20, Fr=-0.3353, Fs=0.6788, reward=-6.441
[t=396000.0s] e=0.07, goal=0.20, Fr=-0.8729, Fs=-0.1339, reward=-6.471
[t=408000.0s] e=0.07, goal=0.20, Fr=0.0147, Fs=-0.3046, reward=-6.439
[t=420000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=0.1431, reward=-6.475
[t=432000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=-0.7342, reward=-6.454
[t=444000.0s] e=0.07, goal=0.20, Fr=0.1349, Fs=0.6759, reward=-6.384
[t=456000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=0.2125, reward=-6.438
[t=468000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=-1.0000, reward=-6.468
[t=480000.0s] e=0.07, goal=0.20, Fr=-0.0531, Fs=-1.0000, reward=-6.498
[t=492000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=-1.0000, reward=-6.488
[t=504000.0s] e=0.07, goal=0.20, Fr=-0.6004, Fs=-1.0000, reward=-6.462
[t=516000.0s] e=0.07, goal=0.20, Fr=0.1968, Fs=-0.1201, reward=-6.419
[t=528000.0s] e=0.07, goal=0.20, Fr=0.3059, Fs=-0.7002, reward=-6.497
[t=540000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=-0.1542, reward=-6.455
[t=552000.0s] e=0.07, goal=0.20, Fr=0.5015, Fs=0.4575, reward=-6.469
[t=564000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=-1.0000, reward=-6.421
[t=576000.0s] e=0.07, goal=0.20, Fr=0.9270, Fs=0.9505, reward=-6.428
[t=588000.0s] e=0.07, goal=0.20, Fr=-0.2479, Fs=0.0247, reward=-6.360
[t=600000.0s] e=0.07, goal=0.20, Fr=0.6632, Fs=0.9807, reward=-6.328
[t=612000.0s] e=0.07, goal=0.20, Fr=0.8777, Fs=0.5808, reward=-6.332
[t=624000.0s] e=0.07, goal=0.20, Fr=1.0000, Fs=0.0020, reward=-6.364
[t=636000.0s] e=0.07, goal=0.20, Fr=-0.3842, Fs=0.5173, reward=-6.378
[t=648000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=0.6777, reward=-6.319
[t=660000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=-0.1443, reward=-6.402
[t=672000.0s] e=0.07, goal=0.20, Fr=0.8431, Fs=0.5203, reward=-6.387
[t=684000.0s] e=0.07, goal=0.20, Fr=0.0376, Fs=-0.8442, reward=-6.406
[t=696000.0s] e=0.07, goal=0.20, Fr=0.4388, Fs=0.7039, reward=-6.414
[t=708000.0s] e=0.07, goal=0.20, Fr=0.1783, Fs=0.7244, reward=-6.371
[t=720000.0s] e=0.07, goal=0.20, Fr=-0.0293, Fs=-0.6206, reward=-6.411
[t=732000.0s] e=0.07, goal=0.20, Fr=-0.3780, Fs=0.5963, reward=-6.357
[t=744000.0s] e=0.07, goal=0.20, Fr=-0.0435, Fs=-0.5978, reward=-6.401
[t=756000.0s] e=0.07, goal=0.20, Fr=0.0544, Fs=0.6679, reward=-6.468
[t=768000.0s] e=0.07, goal=0.20, Fr=0.2402, Fs=0.3774, reward=-6.504
[t=780000.0s] e=0.07, goal=0.20, Fr=-0.8960, Fs=-0.2709, reward=-6.509
[t=792000.0s] e=0.07, goal=0.20, Fr=0.8457, Fs=-1.0000, reward=-6.528
[t=804000.0s] e=0.07, goal=0.20, Fr=0.4588, Fs=1.0000, reward=-6.532
[t=816000.0s] e=0.07, goal=0.20, Fr=-0.6412, Fs=1.0000, reward=-6.531
[t=828000.0s] e=0.07, goal=0.20, Fr=0.5561, Fs=-0.1598, reward=-6.564
[t=840000.0s] e=0.07, goal=0.20, Fr=0.6311, Fs=0.8535, reward=-6.509
[t=852000.0s] e=0.07, goal=0.20, Fr=-1.0000, Fs=1.0000, reward=-6.496
[t=864000.0s] e=0.07, goal=0.20, Fr=-0.3642, Fs=-0.3470, reward=-6.436
 FAILURE #6 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] e=0.08, goal=0.00, Fr=0.7995, Fs=0.1069, reward=-3.843
[t=24000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=1.0000, reward=-3.809
[t=36000.0s] e=0.08, goal=0.00, Fr=-1.0000, Fs=0.5531, reward=-3.857
[t=48000.0s] e=0.08, goal=0.00, Fr=0.8293, Fs=1.0000, reward=-3.867
[t=60000.0s] e=0.08, goal=0.00, Fr=0.5830, Fs=-0.0789, reward=-3.853
[t=72000.0s] e=0.08, goal=0.00, Fr=-0.8601, Fs=-0.0648, reward=-3.897
[t=84000.0s] e=0.08, goal=0.00, Fr=-0.4257, Fs=0.2583, reward=-3.879
[t=96000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=-1.0000, reward=-3.890
[t=108000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=1.0000, reward=-3.896
[t=120000.0s] e=0.08, goal=0.00, Fr=0.4818, Fs=-1.0000, reward=-3.913
[t=132000.0s] e=0.08, goal=0.00, Fr=0.7040, Fs=-0.3886, reward=-3.931
[t=144000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=-0.5018, reward=-3.965
[t=156000.0s] e=0.08, goal=0.00, Fr=-1.0000, Fs=1.0000, reward=-3.984
[t=168000.0s] e=0.08, goal=0.00, Fr=-1.0000, Fs=-0.5757, reward=-3.954
[t=180000.0s] e=0.08, goal=0.00, Fr=0.0474, Fs=-1.0000, reward=-3.939
[t=192000.0s] e=0.08, goal=0.00, Fr=-1.0000, Fs=0.9424, reward=-3.957
[t=204000.0s] e=0.08, goal=0.00, Fr=0.2760, Fs=0.5719, reward=-3.928
[t=216000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=0.4274, reward=-3.926
[t=228000.0s] e=0.08, goal=0.00, Fr=-0.9837, Fs=-0.7122, reward=-3.883
[t=240000.0s] e=0.08, goal=0.00, Fr=-0.2477, Fs=0.4490, reward=-3.891
[t=252000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=-0.3046, reward=-3.890
[t=264000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=0.7380, reward=-3.839
[t=276000.0s] e=0.08, goal=0.00, Fr=0.6018, Fs=-0.5845, reward=-3.802
[t=288000.0s] e=0.08, goal=0.00, Fr=-0.4633, Fs=-1.0000, reward=-3.799
[t=300000.0s] e=0.08, goal=0.00, Fr=0.4107, Fs=-0.1446, reward=-3.818
[t=312000.0s] e=0.08, goal=0.00, Fr=-0.0146, Fs=-1.0000, reward=-3.825
[t=324000.0s] e=0.08, goal=0.00, Fr=1.0000, Fs=1.0000, reward=-3.853
[t=336000.0s] e=0.08, goal=0.00, Fr=-0.6368, Fs=-0.4716, reward=-3.830
[t=348000.0s] e=0.08, goal=0.00, Fr=0.0471, Fs=0.4622, reward=-3.798
[t=360000.0s] e=0.08, goal=0.00, Fr=-1.0000, Fs=1.0000, reward=-3.783
[t=372000.0s] e=0.08, goal=0.00, Fr=0.6495, Fs=-0.0322, reward=-3.758
[t=384000.0s] e=0.07, goal=0.00, Fr=0.7820, Fs=0.4502, reward=-3.732
[t=396000.0s] e=0.07, goal=0.00, Fr=1.0000, Fs=0.5983, reward=-3.686
[t=408000.0s] e=0.07, goal=0.00, Fr=0.4723, Fs=0.6568, reward=-3.665
[t=420000.0s] e=0.07, goal=0.00, Fr=0.5113, Fs=-0.3515, reward=-3.699
[t=432000.0s] e=0.07, goal=0.00, Fr=0.3830, Fs=-1.0000, reward=-3.715
[t=444000.0s] e=0.07, goal=0.00, Fr=0.0460, Fs=0.8834, reward=-3.694
[t=456000.0s] e=0.07, goal=0.00, Fr=-0.5287, Fs=-1.0000, reward=-3.645
[t=468000.0s] e=0.07, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-3.627
[t=480000.0s] e=0.07, goal=0.00, Fr=0.7127, Fs=1.0000, reward=-3.605
[t=492000.0s] e=0.07, goal=0.00, Fr=-0.5301, Fs=-1.0000, reward=-3.570
[t=504000.0s] e=0.07, goal=0.00, Fr=-1.0000, Fs=-0.0475, reward=-3.606
[t=516000.0s] e=0.07, goal=0.00, Fr=-1.0000, Fs=0.1476, reward=-3.613
[t=528000.0s] e=0.07, goal=0.00, Fr=-0.7150, Fs=-1.0000, reward=-3.623
[t=540000.0s] e=0.07, goal=0.00, Fr=-0.2478, Fs=1.0000, reward=-3.607
[t=552000.0s] e=0.07, goal=0.00, Fr=-0.6998, Fs=0.4350, reward=-3.655
[t=564000.0s] e=0.07, goal=0.00, Fr=-1.0000, Fs=1.0000, reward=-3.607
[t=576000.0s] e=0.07, goal=0.00, Fr=-0.5532, Fs=-1.0000, reward=-3.591
[t=588000.0s] e=0.07, goal=0.00, Fr=-0.9916, Fs=-1.0000, reward=-3.555
[t=600000.0s] e=0.07, goal=0.00, Fr=1.0000, Fs=-0.0788, reward=-3.608
[t=612000.0s] e=0.07, goal=0.00, Fr=-0.2870, Fs=0.3451, reward=-3.649
[t=624000.0s] e=0.07, goal=0.00, Fr=0.2542, Fs=-0.6299, reward=-3.631
[t=636000.0s] e=0.07, goal=0.00, Fr=-1.0000, Fs=0.8872, reward=-3.633
[t=648000.0s] e=0.07, goal=0.00, Fr=1.0000, Fs=0.9884, reward=-3.622
[t=660000.0s] e=0.07, goal=0.00, Fr=0.9691, Fs=-1.0000, reward=-3.663
[t=672000.0s] e=0.07, goal=0.00, Fr=1.0000, Fs=1.0000, reward=-3.643
[t=684000.0s] e=0.07, goal=0.00, Fr=-0.0727, Fs=-1.0000, reward=-3.642
[t=696000.0s] e=0.07, goal=0.00, Fr=-1.0000, Fs=-1.0000, reward=-3.677
[t=708000.0s] e=0.07, goal=0.00, Fr=1.0000, Fs=0.0894, reward=-3.703
[t=720000.0s] e=0.07, goal=0.00, Fr=-0.2268, Fs=-0.2933, reward=-3.676
[t=732000.0s] e=0.07, goal=0.00, Fr=-0.1415, Fs=0.0228, reward=-3.638
[t=744000.0s] e=0.07, goal=0.00, Fr=-0.4288, Fs=-0.4182, reward=-3.651
