
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=120000.0s] a=7630, e=0.1044, goal_e=0.0000, Fr=0.4354, Fs=-1.0000, reward=6.735
[t=132000.0s] a=7640, e=0.1029, goal_e=0.0000, Fr=1.0000, Fs=-0.1557, reward=10.074
[t=144000.0s] a=7657, e=0.1015, goal_e=0.0000, Fr=0.7344, Fs=-1.0000, reward=8.632
[t=156000.0s] a=7676, e=0.1001, goal_e=0.0000, Fr=-0.5986, Fs=-1.0000, reward=0.986
[t=168000.0s] a=7693, e=0.0988, goal_e=0.0000, Fr=-0.7792, Fs=0.5710, reward=0.273
[t=180000.0s] a=7697, e=0.0973, goal_e=0.0000, Fr=1.0000, Fs=0.3705, reward=0.176
[t=192000.0s] a=7730, e=0.0966, goal_e=0.0000, Fr=1.0000, Fs=1.0000, reward=-10.019
[t=204000.0s] a=7740, e=0.0962, goal_e=0.0000, Fr=-1.0000, Fs=1.0000, reward=-10.029
[t=216000.0s] a=7747, e=0.0949, goal_e=0.0000, Fr=1.0000, Fs=1.0000, reward=4.966
[t=228000.0s] a=7766, e=0.0936, goal_e=0.0000, Fr=0.0148, Fs=0.5533, reward=-0.038
[t=240000.0s] a=7778, e=0.0921, goal_e=0.0000, Fr=-0.7311, Fs=0.8197, reward=-0.040
[t=252000.0s] a=7803, e=0.0909, goal_e=0.0000, Fr=1.0000, Fs=1.0000, reward=-0.042
[t=264000.0s] a=7813, e=0.0898, goal_e=0.0000, Fr=0.3165, Fs=-1.0000, reward=-0.044
[t=276000.0s] a=7825, e=0.0891, goal_e=0.0000, Fr=1.0000, Fs=0.5949, reward=-0.046
[t=288000.0s] a=7843, e=0.0878, goal_e=0.0000, Fr=-1.0000, Fs=0.6878, reward=-0.048
[t=300000.0s] a=7849, e=0.0875, goal_e=0.0000, Fr=1.0000, Fs=-0.2959, reward=-0.050
[t=312000.0s] a=7871, e=0.0872, goal_e=0.0000, Fr=-0.0575, Fs=-0.9741, reward=-10.052
[t=324000.0s] a=7890, e=0.0874, goal_e=0.0000, Fr=0.3433, Fs=0.3744, reward=-0.054
[t=336000.0s] a=7907, e=0.0866, goal_e=0.0000, Fr=0.0722, Fs=-0.1008, reward=-0.056
[t=348000.0s] a=7924, e=0.0855, goal_e=0.0000, Fr=-1.0000, Fs=0.5379, reward=-0.058
[t=360000.0s] a=7944, e=0.0856, goal_e=0.0000, Fr=0.5414, Fs=0.0614, reward=-0.060
[t=372000.0s] a=7966, e=0.0851, goal_e=0.0000, Fr=-1.0000, Fs=0.4433, reward=-0.062
[t=384000.0s] a=7982, e=0.0837, goal_e=0.0000, Fr=0.9757, Fs=-1.0000, reward=4.936
