
 ------------------------------------------------- 
[t=300000.0s] a=7739.85, goal=7917.69, Fs=0.0211, reward=-65.101
[t=312000.0s] a=7744.61, goal=7917.69, Fs=0.0350, reward=-66.832
[t=324000.0s] a=7749.06, goal=7917.69, Fs=0.0323, reward=-68.347
[t=336000.0s] a=7753.40, goal=7917.69, Fs=0.0127, reward=-69.620
[t=348000.0s] a=7758.32, goal=7917.69, Fs=0.0375, reward=-71.499
[t=360000.0s] a=7762.74, goal=7917.69, Fs=0.0183, reward=-72.769
[t=372000.0s] a=7767.28, goal=7917.69, Fs=0.0469, reward=-74.744
[t=384000.0s] a=7771.85, goal=7917.69, Fs=0.0351, reward=-76.110
[t=396000.0s] a=7776.55, goal=7917.69, Fs=0.0948, reward=-78.536
[t=408000.0s] a=7780.75, goal=7917.69, Fs=0.0385, reward=-79.270
[t=420000.0s] a=7785.56, goal=7917.69, Fs=0.0014, reward=-80.234
[t=432000.0s] a=7790.08, goal=7917.69, Fs=0.0413, reward=-82.379
[t=444000.0s] a=7794.27, goal=7917.69, Fs=0.0177, reward=-83.607
[t=456000.0s] a=7798.87, goal=7917.69, Fs=0.0511, reward=-85.647
[t=468000.0s] a=7803.60, goal=7917.69, Fs=0.0759, reward=-87.547
[t=480000.0s] a=7807.92, goal=7917.69, Fs=0.0575, reward=-88.840
[t=492000.0s] a=7812.44, goal=7917.69, Fs=0.0598, reward=-90.421
[t=504000.0s] a=7816.86, goal=7917.69, Fs=0.0326, reward=-91.572
[t=516000.0s] a=7820.98, goal=7917.69, Fs=0.0736, reward=-93.774
[t=528000.0s] a=7825.02, goal=7917.69, Fs=0.0310, reward=-94.731
[t=540000.0s] a=7829.28, goal=7917.69, Fs=0.0413, reward=-96.460
[t=552000.0s] a=7833.32, goal=7917.69, Fs=0.0351, reward=-97.963
[t=564000.0s] a=7837.38, goal=7917.69, Fs=0.0148, reward=-99.252
[t=576000.0s] a=7841.43, goal=7917.69, Fs=0.0578, reward=-101.491
[t=588000.0s] a=7845.64, goal=7917.69, Fs=0.0345, reward=-102.721
[t=600000.0s] a=7849.86, goal=7917.69, Fs=0.0367, reward=-104.333
[t=612000.0s] a=7853.79, goal=7917.69, Fs=0.0634, reward=-106.341
[t=624000.0s] a=7857.81, goal=7917.69, Fs=0.0075, reward=-107.101
[t=636000.0s] a=7861.82, goal=7917.69, Fs=0.0264, reward=-108.982
[t=648000.0s] a=7865.90, goal=7917.69, Fs=-0.0005, reward=-117.186
[t=660000.0s] a=7869.91, goal=7917.69, Fs=0.0291, reward=-112.214
[t=672000.0s] a=7873.68, goal=7917.69, Fs=0.0153, reward=-113.630
[t=684000.0s] a=7877.34, goal=7917.69, Fs=0.0510, reward=-115.799
[t=696000.0s] a=7881.25, goal=7917.69, Fs=0.0172, reward=-116.901
[t=708000.0s] a=7885.17, goal=7917.69, Fs=0.0025, reward=-118.288
[t=720000.0s] a=7888.88, goal=7917.69, Fs=0.0540, reward=-120.690
[t=732000.0s] a=7892.28, goal=7917.69, Fs=0.0501, reward=-122.293
[t=744000.0s] a=7896.00, goal=7917.69, Fs=0.0130, reward=-123.364
[t=756000.0s] a=7899.80, goal=7917.69, Fs=0.0136, reward=-124.992
[t=768000.0s] a=7903.60, goal=7917.69, Fs=-0.0045, reward=-133.475
[t=780000.0s] a=7907.59, goal=7917.69, Fs=0.0183, reward=-128.283
 SUCCESS #1 of #4 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8319.92, goal=8045.91, Fs=-0.0031, reward=-26.448
[t=24000.0s] a=8321.80, goal=8045.91, Fs=0.0481, reward=-86.310
[t=36000.0s] a=8323.50, goal=8045.91, Fs=-0.0176, reward=-31.023
[t=48000.0s] a=8325.33, goal=8045.91, Fs=0.0331, reward=-90.438
[t=60000.0s] a=8327.36, goal=8045.91, Fs=-0.0177, reward=-35.411
[t=72000.0s] a=8329.15, goal=8045.91, Fs=0.0064, reward=-94.420
[t=84000.0s] a=8331.06, goal=8045.91, Fs=-0.0102, reward=-39.668
[t=96000.0s] a=8332.97, goal=8045.91, Fs=0.0150, reward=-98.932
[t=108000.0s] a=8334.89, goal=8045.91, Fs=0.0207, reward=-101.209
[t=120000.0s] a=8336.93, goal=8045.91, Fs=0.0232, reward=-103.450
[t=132000.0s] a=8339.08, goal=8045.91, Fs=0.0279, reward=-105.736
[t=144000.0s] a=8340.55, goal=8045.91, Fs=-0.0033, reward=-50.513
[t=156000.0s] a=8342.52, goal=8045.91, Fs=0.0325, reward=-110.148
[t=168000.0s] a=8344.00, goal=8045.91, Fs=-0.0070, reward=-54.914
[t=180000.0s] a=8345.47, goal=8045.91, Fs=-0.0048, reward=-57.029
[t=192000.0s] a=8347.28, goal=8045.91, Fs=0.0340, reward=-116.647
[t=204000.0s] a=8349.02, goal=8045.91, Fs=0.0220, reward=-118.641
[t=216000.0s] a=8350.49, goal=8045.91, Fs=0.0136, reward=-120.663
[t=228000.0s] a=8351.80, goal=8045.91, Fs=0.0346, reward=-123.108
[t=240000.0s] a=8353.24, goal=8045.91, Fs=0.0262, reward=-125.126
[t=252000.0s] a=8354.63, goal=8045.91, Fs=0.0179, reward=-127.141
[t=264000.0s] a=8356.39, goal=8045.91, Fs=-0.0316, reward=-72.522
[t=276000.0s] a=8358.00, goal=8045.91, Fs=0.0219, reward=-131.539
[t=288000.0s] a=8359.41, goal=8045.91, Fs=0.0031, reward=-133.396
[t=300000.0s] a=8361.04, goal=8045.91, Fs=0.0384, reward=-136.090
[t=312000.0s] a=8362.75, goal=8045.91, Fs=0.0176, reward=-137.948
[t=324000.0s] a=8364.44, goal=8045.91, Fs=0.0117, reward=-140.028
[t=336000.0s] a=8365.92, goal=8045.91, Fs=0.0255, reward=-142.384
[t=348000.0s] a=8367.51, goal=8045.91, Fs=-0.0026, reward=-87.199
[t=360000.0s] a=8369.20, goal=8045.91, Fs=0.0170, reward=-146.583
[t=372000.0s] a=8370.78, goal=8045.91, Fs=0.0097, reward=-148.633
[t=384000.0s] a=8372.20, goal=8045.91, Fs=0.0381, reward=-151.201
[t=396000.0s] a=8373.58, goal=8045.91, Fs=0.0259, reward=-153.156
[t=408000.0s] a=8375.10, goal=8045.91, Fs=-0.0009, reward=-97.932
[t=420000.0s] a=8376.49, goal=8045.91, Fs=0.0154, reward=-157.290
[t=432000.0s] a=8378.22, goal=8045.91, Fs=-0.0389, reward=-102.815
[t=444000.0s] a=8379.81, goal=8045.91, Fs=0.0249, reward=-161.764
[t=456000.0s] a=8381.27, goal=8045.91, Fs=-0.0012, reward=-106.555
[t=468000.0s] a=8382.76, goal=8045.91, Fs=-0.0132, reward=-108.882
[t=480000.0s] a=8384.30, goal=8045.91, Fs=-0.0230, reward=-111.185
[t=492000.0s] a=8385.59, goal=8045.91, Fs=0.0293, reward=-170.408
[t=504000.0s] a=8386.97, goal=8045.91, Fs=0.0044, reward=-172.172
[t=516000.0s] a=8388.04, goal=8045.91, Fs=-0.0129, reward=-117.407
[t=528000.0s] a=8389.33, goal=8045.91, Fs=0.0054, reward=-176.423
[t=540000.0s] a=8390.77, goal=8045.91, Fs=0.0190, reward=-178.771
[t=552000.0s] a=8392.04, goal=8045.91, Fs=-0.0132, reward=-123.810
[t=564000.0s] a=8393.36, goal=8045.91, Fs=-0.0001, reward=-125.747
