
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=564000.0s] a=8500, e=0.0100, i=44.88deg, goal_i=36.45deg, Fw=0.8483, reward=135.811
[t=576000.0s] a=8500, e=0.0100, i=44.84deg, goal_i=36.45deg, Fw=1.0000, reward=-211.163
[t=588000.0s] a=8500, e=0.0100, i=44.78deg, goal_i=36.45deg, Fw=0.0679, reward=-59.145
[t=600000.0s] a=8500, e=0.0100, i=44.76deg, goal_i=36.45deg, Fw=-0.5892, reward=138.515
[t=612000.0s] a=8500, e=0.0100, i=44.70deg, goal_i=36.45deg, Fw=-0.4453, reward=-204.203
[t=624000.0s] a=8500, e=0.0100, i=44.66deg, goal_i=36.45deg, Fw=-0.2875, reward=-58.811
[t=636000.0s] a=8500, e=0.0100, i=44.61deg, goal_i=36.45deg, Fw=1.0000, reward=138.175
[t=648000.0s] a=8500, e=0.0100, i=44.54deg, goal_i=36.45deg, Fw=0.7799, reward=-201.291
[t=660000.0s] a=8500, e=0.0100, i=44.47deg, goal_i=36.45deg, Fw=-0.6424, reward=-198.335
[t=672000.0s] a=8500, e=0.0100, i=44.39deg, goal_i=36.45deg, Fw=0.3927, reward=-56.298
[t=684000.0s] a=8500, e=0.0100, i=44.31deg, goal_i=36.45deg, Fw=-0.6203, reward=143.532
[t=696000.0s] a=8500, e=0.0100, i=44.26deg, goal_i=36.45deg, Fw=-0.0541, reward=-189.551
[t=708000.0s] a=8500, e=0.0100, i=44.19deg, goal_i=36.45deg, Fw=-1.0000, reward=143.021
[t=720000.0s] a=8500, e=0.0100, i=44.12deg, goal_i=36.45deg, Fw=-0.0391, reward=-185.435
[t=732000.0s] a=8500, e=0.0100, i=44.07deg, goal_i=36.45deg, Fw=0.0929, reward=-184.113
[t=744000.0s] a=8500, e=0.0100, i=43.95deg, goal_i=36.45deg, Fw=1.0000, reward=145.726
[t=756000.0s] a=8500, e=0.0100, i=43.86deg, goal_i=36.45deg, Fw=-0.2193, reward=-49.308
[t=768000.0s] a=8500, e=0.0100, i=43.75deg, goal_i=36.45deg, Fw=0.8078, reward=149.006
[t=780000.0s] a=8500, e=0.0100, i=43.64deg, goal_i=36.45deg, Fw=1.0000, reward=-176.294
[t=792000.0s] a=8500, e=0.0100, i=43.54deg, goal_i=36.45deg, Fw=0.3437, reward=-46.345
[t=804000.0s] a=8500, e=0.0100, i=43.45deg, goal_i=36.45deg, Fw=0.6928, reward=-169.507
[t=816000.0s] a=8500, e=0.0100, i=43.38deg, goal_i=36.45deg, Fw=1.0000, reward=-47.886
[t=828000.0s] a=8500, e=0.0100, i=43.29deg, goal_i=36.45deg, Fw=0.8030, reward=-45.956
[t=840000.0s] a=8500, e=0.0100, i=43.20deg, goal_i=36.45deg, Fw=-0.4248, reward=-43.103
[t=852000.0s] a=8500, e=0.0100, i=43.11deg, goal_i=36.45deg, Fw=-0.0239, reward=-156.420
[t=864000.0s] a=8500, e=0.0100, i=42.99deg, goal_i=36.45deg, Fw=-1.0000, reward=-370.694
 FAILURE #6 of #6 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=46.04deg, goal_i=45.01deg, Fw=-1.0000, reward=-24.232
[t=24000.0s] a=8500, e=0.0100, i=45.94deg, goal_i=45.01deg, Fw=-0.6182, reward=-3.970
[t=36000.0s] a=8500, e=0.0100, i=45.82deg, goal_i=45.01deg, Fw=0.4571, reward=-2.955
[t=48000.0s] a=8500, e=0.0100, i=45.73deg, goal_i=45.01deg, Fw=1.0000, reward=-5.536
[t=60000.0s] a=8500, e=0.0100, i=45.64deg, goal_i=45.01deg, Fw=-0.7731, reward=195.727
[t=72000.0s] a=8500, e=0.0100, i=45.54deg, goal_i=45.01deg, Fw=-1.0000, reward=-14.716
 SUCCESS #1 of #7 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8500, e=0.0100, i=46.40deg, goal_i=30.99deg, Fw=1.0000, reward=56.043
[t=24000.0s] a=8500, e=0.0100, i=46.30deg, goal_i=30.99deg, Fw=-0.3793, reward=-139.897
[t=36000.0s] a=8500, e=0.0100, i=46.20deg, goal_i=30.99deg, Fw=0.6024, reward=-140.126
[t=48000.0s] a=8500, e=0.0100, i=46.09deg, goal_i=30.99deg, Fw=0.3741, reward=-137.904
[t=60000.0s] a=8500, e=0.0100, i=45.99deg, goal_i=30.99deg, Fw=-1.0000, reward=59.917
[t=72000.0s] a=8500, e=0.0100, i=45.88deg, goal_i=30.99deg, Fw=1.0000, reward=60.985
[t=84000.0s] a=8500, e=0.0100, i=45.79deg, goal_i=30.99deg, Fw=1.0000, reward=-396.315
[t=96000.0s] a=8500, e=0.0100, i=45.65deg, goal_i=30.99deg, Fw=1.0000, reward=63.279
[t=108000.0s] a=8500, e=0.0100, i=45.54deg, goal_i=30.99deg, Fw=-0.2015, reward=-131.650
[t=120000.0s] a=8500, e=0.0100, i=45.44deg, goal_i=30.99deg, Fw=1.0000, reward=65.445
[t=132000.0s] a=8500, e=0.0100, i=45.32deg, goal_i=30.99deg, Fw=-1.0000, reward=66.585
[t=144000.0s] a=8500, e=0.0100, i=45.19deg, goal_i=30.99deg, Fw=-1.0000, reward=-380.021
[t=156000.0s] a=8500, e=0.0100, i=45.06deg, goal_i=30.99deg, Fw=-0.5830, reward=71.356
[t=168000.0s] a=8500, e=0.0100, i=44.93deg, goal_i=30.99deg, Fw=1.0000, reward=70.663
[t=180000.0s] a=8500, e=0.0100, i=44.81deg, goal_i=30.99deg, Fw=-1.0000, reward=71.928
[t=192000.0s] a=8500, e=0.0100, i=44.69deg, goal_i=30.99deg, Fw=-1.0000, reward=-365.976
