
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=744000.0s], i=49.26deg, goal_i=42.07deg, Fw=0.0027, delta_i = -1.1802238586433589e-07, term = -8521.165980563092, reward=-45.807
[t=756000.0s], i=49.28deg, goal_i=42.07deg, Fw=0.2564, delta_i = 1.0642309950847917e-05, term = 7988.744099669025, reward=-173.110
[t=768000.0s], i=49.26deg, goal_i=42.07deg, Fw=1.0000, delta_i = -3.759751501553055e-05, term = -7186.288368102299, reward=149.273
[t=780000.0s], i=49.25deg, goal_i=42.07deg, Fw=-0.6611, delta_i = -2.010925199291691e-05, term = 5752.7556408798855, reward=151.036
[t=792000.0s], i=49.24deg, goal_i=42.07deg, Fw=-1.0000, delta_i = 2.2733000808461412e-05, term = -4235.06400112249, reward=-175.624
[t=804000.0s], i=49.24deg, goal_i=42.07deg, Fw=-1.0000, delta_i = -1.2091742940811834e-05, term = 2146.609327699786, reward=149.513
[t=816000.0s], i=49.24deg, goal_i=42.07deg, Fw=1.0000, delta_i = -2.751706871140236e-06, term = -330.0323602750096, reward=-50.546
[t=828000.0s], i=49.23deg, goal_i=42.07deg, Fw=1.0000, delta_i = -9.107431373389652e-06, term = -1968.8197525276144, reward=-50.387
[t=840000.0s], i=49.26deg, goal_i=42.07deg, Fw=1.0000, delta_i = 1.7858620533384162e-05, term = 3650.5661848952673, reward=-176.276
[t=852000.0s], i=49.24deg, goal_i=42.07deg, Fw=0.3548, delta_i = -1.0010317657127565e-05, term = -5631.445458129537, reward=152.664
[t=864000.0s], i=49.27deg, goal_i=42.07deg, Fw=0.8296, delta_i = 2.8523895815535383e-05, term = 6795.172247844225, reward=-736.019
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s], i=45.71deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 2.5660894640067156e-05, term = -4811.897115550372, reward=-55.426
[t=24000.0s], i=45.73deg, goal_i=43.19deg, Fw=-0.8007, delta_i = -1.2402506272102265e-05, term = 2811.247067740416, reward=189.640
[t=36000.0s], i=45.75deg, goal_i=43.19deg, Fw=0.1536, delta_i = -9.673425154232973e-07, term = -1019.5965163220949, reward=-7.248
[t=48000.0s], i=45.78deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 5.533640990651456e-06, term = -1278.7835804369845, reward=-56.806
[t=60000.0s], i=45.84deg, goal_i=43.19deg, Fw=1.0000, delta_i = 1.4534678124955569e-05, term = 3012.0071806080105, reward=-58.250
[t=72000.0s], i=45.84deg, goal_i=43.19deg, Fw=1.0000, delta_i = -2.5343002822086902e-05, term = -5084.708255445721, reward=188.084
[t=84000.0s], i=45.85deg, goal_i=43.19deg, Fw=-0.8357, delta_i = -2.6793833312055426e-05, term = 6357.58187558048, reward=188.829
[t=96000.0s], i=45.82deg, goal_i=43.19deg, Fw=0.0545, delta_i = -2.1398453264875883e-06, term = -7704.683611779912, reward=-7.119
[t=108000.0s], i=45.84deg, goal_i=43.19deg, Fw=-1.0000, delta_i = -4.211327086367511e-05, term = 8220.439297401008, reward=188.076
[t=120000.0s], i=45.85deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 4.4114728899868894e-05, term = -8555.932489020282, reward=-58.413
[t=132000.0s], i=45.85deg, goal_i=43.19deg, Fw=1.0000, delta_i = 4.2261645083696564e-05, term = 8148.933674156895, reward=-58.491
[t=144000.0s], i=45.86deg, goal_i=43.19deg, Fw=-0.6007, delta_i = 2.3410249646804715e-05, term = -7464.083531767459, reward=-56.808
[t=156000.0s], i=45.86deg, goal_i=43.19deg, Fw=-0.5689, delta_i = -1.8414940658018075e-05, term = 6140.991648436501, reward=190.128
[t=168000.0s], i=45.88deg, goal_i=43.19deg, Fw=1.0000, delta_i = -2.5050448536179104e-05, term = -4691.252802788099, reward=187.837
[t=180000.0s], i=45.86deg, goal_i=43.19deg, Fw=0.5017, delta_i = 7.404168706592884e-06, term = 2668.2863623118524, reward=-56.145
[t=192000.0s], i=45.87deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 5.490165954857851e-06, term = -862.7728271947407, reward=-58.902
[t=204000.0s], i=45.83deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 6.350340743921379e-06, term = -1436.6766306026566, reward=-58.010
[t=216000.0s], i=45.83deg, goal_i=43.19deg, Fw=-0.8664, delta_i = -1.3246577114212066e-05, term = 3156.6493208144625, reward=188.758
[t=228000.0s], i=45.84deg, goal_i=43.19deg, Fw=1.0000, delta_i = -2.5973597924777714e-05, term = -5204.902850650843, reward=188.025
[t=240000.0s], i=45.85deg, goal_i=43.19deg, Fw=0.3239, delta_i = 1.0543495471360131e-05, term = 6450.864172558456, reward=-55.149
[t=252000.0s], i=45.82deg, goal_i=43.19deg, Fw=0.5938, delta_i = -2.3497056854671072e-05, term = -7766.835940990665, reward=190.162
[t=264000.0s], i=45.86deg, goal_i=43.19deg, Fw=-1.0000, delta_i = -4.229446684755889e-05, term = 8252.160507575309, reward=187.923
[t=276000.0s], i=45.83deg, goal_i=43.19deg, Fw=-0.8329, delta_i = 3.673398155024099e-05, term = -8550.27539327776, reward=-57.266
[t=288000.0s], i=45.82deg, goal_i=43.19deg, Fw=-0.1623, delta_i = -6.832019445845994e-06, term = 8111.508162994119, reward=-7.652
[t=300000.0s], i=45.82deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 3.865173607542349e-05, term = -7399.2457498134845, reward=-57.932
[t=312000.0s], i=45.81deg, goal_i=43.19deg, Fw=0.0381, delta_i = 1.2166286793569014e-06, term = 6046.2436244257215, reward=-52.673
[t=324000.0s], i=45.81deg, goal_i=43.19deg, Fw=0.3467, delta_i = -8.491334705595932e-06, term = -4580.628871507532, reward=-8.555
[t=336000.0s], i=45.76deg, goal_i=43.19deg, Fw=-0.4887, delta_i = -6.893290227627524e-06, term = 2540.454666092121, reward=-9.026
[t=348000.0s], i=45.78deg, goal_i=43.19deg, Fw=0.0499, delta_i = -2.4019853017698267e-07, term = -730.0477746045844, reward=-6.926
[t=360000.0s], i=45.78deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 7.0681747121881244e-06, term = -1575.392379167464, reward=-56.806
[t=372000.0s], i=45.78deg, goal_i=43.19deg, Fw=-0.1572, delta_i = -2.5103481280375206e-06, term = 3288.4722016572337, reward=-7.484
[t=384000.0s], i=45.78deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 2.654487285635998e-05, term = -5313.9449308919775, reward=-56.962
[t=396000.0s], i=45.78deg, goal_i=43.19deg, Fw=-0.5029, delta_i = -1.660793235924718e-05, term = 6539.526475762907, reward=190.794
[t=408000.0s], i=45.78deg, goal_i=43.19deg, Fw=-1.0000, delta_i = 3.9861849652655934e-05, term = -7820.342065977694, reward=-57.101
[t=420000.0s], i=45.78deg, goal_i=43.19deg, Fw=0.1925, delta_i = 8.169857867001973e-06, term = 8278.788362307896, reward=-52.843
[t=432000.0s], i=45.75deg, goal_i=43.19deg, Fw=-0.8359, delta_i = 3.684967433903452e-05, term = -8542.769116011008, reward=-55.581
[t=444000.0s], i=45.77deg, goal_i=43.19deg, Fw=-0.0780, delta_i = -3.2688072203468366e-06, term = 8073.344102228964, reward=-7.035
[t=456000.0s], i=45.77deg, goal_i=43.19deg, Fw=-0.7339, delta_i = 2.8115101865844316e-05, term = -7330.329385805637, reward=-55.356
[t=468000.0s], i=45.76deg, goal_i=43.19deg, Fw=-1.0000, delta_i = -3.142270970768468e-05, term = 5952.129565190545, reward=188.410
[t=480000.0s], i=45.78deg, goal_i=43.19deg, Fw=0.3585, delta_i = -8.57302463985743e-06, term = -4467.17871219831, reward=-8.466
[t=492000.0s], i=45.76deg, goal_i=43.19deg, Fw=1.0000, delta_i = 1.344165038463796e-05, term = 2410.7357862630943, reward=-56.612
