
 ------------------------------------------------- 
[t=1848000.0s] a=29279, e=0.6310, i=5.4370, Fr=-0.6643, Fs=0.4427, Fw=-1.0000, reward=608.017
[t=1860000.0s] a=29296, e=0.6290, i=5.3967, Fr=0.0031, Fs=1.0000, Fw=-0.6008, reward=782.184
[t=1872000.0s] a=29358, e=0.6289, i=5.3984, Fr=-0.6445, Fs=1.0000, Fw=1.0000, reward=1019.912
[t=1884000.0s] a=29409, e=0.6274, i=5.3006, Fr=-0.3024, Fs=-0.4458, Fw=1.0000, reward=556.255
[t=1896000.0s] a=29447, e=0.6252, i=5.1700, Fr=-1.0000, Fs=1.0000, Fw=0.2968, reward=663.121
[t=1908000.0s] a=29474, e=0.6233, i=5.0692, Fr=0.6254, Fs=1.0000, Fw=0.5075, reward=768.202
[t=1920000.0s] a=29579, e=0.6240, i=5.0736, Fr=-0.7472, Fs=1.0000, Fw=-1.0000, reward=991.488
[t=1932000.0s] a=29727, e=0.6242, i=4.9900, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=1053.815
[t=1944000.0s] a=29770, e=0.6220, i=4.8401, Fr=-1.0000, Fs=1.0000, Fw=0.2456, reward=636.363
[t=1956000.0s] a=29845, e=0.6205, i=4.7584, Fr=1.0000, Fs=0.8689, Fw=1.0000, reward=972.352
[t=1968000.0s] a=30034, e=0.6222, i=4.7339, Fr=-0.7400, Fs=1.0000, Fw=0.4046, reward=695.571
[t=1980000.0s] a=29801, e=0.6166, i=4.6968, Fr=-0.0888, Fs=1.0000, Fw=1.0000, reward=1043.958
[t=1992000.0s] a=29816, e=0.6141, i=4.5629, Fr=-0.2634, Fs=1.0000, Fw=0.5507, reward=808.447
[t=2004000.0s] a=29889, e=0.6124, i=4.4337, Fr=0.4057, Fs=1.0000, Fw=-0.5285, reward=718.228
[t=2016000.0s] a=30061, e=0.6135, i=4.3818, Fr=-0.7874, Fs=1.0000, Fw=1.0000, reward=971.415
[t=2028000.0s] a=30240, e=0.6151, i=4.3632, Fr=0.3772, Fs=1.0000, Fw=0.4970, reward=761.644
[t=2040000.0s] a=30380, e=0.6147, i=4.2403, Fr=0.5679, Fs=1.0000, Fw=0.5580, reward=811.104
[t=2052000.0s] a=30443, e=0.6128, i=4.1258, Fr=1.0000, Fs=1.0000, Fw=0.2696, reward=650.812
[t=2064000.0s] a=30460, e=0.6107, i=4.0470, Fr=-0.5633, Fs=1.0000, Fw=-0.6315, reward=790.841
[t=2076000.0s] a=30692, e=0.6134, i=4.0533, Fr=-0.6142, Fs=1.0000, Fw=1.0000, reward=1013.832
[t=2088000.0s] a=30690, e=0.6112, i=3.9627, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1047.657
[t=2100000.0s] a=30720, e=0.6085, i=3.7925, Fr=0.1655, Fs=1.0000, Fw=1.0000, reward=1059.919
[t=2112000.0s] a=30776, e=0.6065, i=3.7006, Fr=1.0000, Fs=1.0000, Fw=0.5826, reward=815.767
[t=2124000.0s] a=30821, e=0.6057, i=3.6749, Fr=-0.5940, Fs=0.5935, Fw=0.2385, reward=407.658
[t=2136000.0s] a=30802, e=0.6037, i=3.6460, Fr=1.0000, Fs=1.0000, Fw=0.9500, reward=1003.418
[t=2148000.0s] a=30898, e=0.6024, i=3.5117, Fr=-0.5114, Fs=-0.4035, Fw=0.3446, reward=192.452
[t=2160000.0s] a=30969, e=0.6006, i=3.3518, Fr=-0.8335, Fs=0.8413, Fw=1.0000, reward=969.510
[t=2172000.0s] a=31020, e=0.5990, i=3.2867, Fr=0.9089, Fs=1.0000, Fw=0.6086, reward=807.758
[t=2184000.0s] a=31181, e=0.6006, i=3.2967, Fr=-0.1438, Fs=1.0000, Fw=1.0000, reward=1019.752
[t=2196000.0s] a=31251, e=0.5993, i=3.1963, Fr=0.2136, Fs=1.0000, Fw=-0.4090, reward=667.539
[t=2208000.0s] a=31263, e=0.5963, i=3.2240, Fr=0.2418, Fs=1.0000, Fw=1.0000, reward=895.956
[t=2220000.0s] a=31294, e=0.5937, i=3.3562, Fr=0.5916, Fs=0.7126, Fw=1.0000, reward=777.479
[t=2232000.0s] a=31376, e=0.5934, i=3.4139, Fr=-0.3150, Fs=1.0000, Fw=-0.0169, reward=504.671
[t=2244000.0s] a=31416, e=0.5925, i=3.4168, Fr=0.1243, Fs=1.0000, Fw=0.2778, reward=620.989
[t=2256000.0s] a=31435, e=0.5899, i=3.5368, Fr=-0.5904, Fs=1.0000, Fw=0.0692, reward=526.975
[t=2268000.0s] a=31502, e=0.5876, i=3.6830, Fr=-0.9091, Fs=1.0000, Fw=0.6559, reward=754.904
[t=2280000.0s] a=31573, e=0.5860, i=3.8230, Fr=-0.9777, Fs=1.0000, Fw=1.0000, reward=943.815
[t=2292000.0s] a=31868, e=0.5898, i=3.8184, Fr=-0.4443, Fs=1.0000, Fw=-0.4344, reward=714.127
[t=2304000.0s] a=31970, e=0.5894, i=3.8779, Fr=1.0000, Fs=1.0000, Fw=0.8265, reward=833.805
[t=2316000.0s] a=32016, e=0.5869, i=4.0473, Fr=0.2125, Fs=1.0000, Fw=0.0540, reward=520.376
[t=2328000.0s] a=32117, e=0.5852, i=4.2032, Fr=-0.7225, Fs=1.0000, Fw=0.2161, reward=583.674
[t=2340000.0s] a=32417, e=0.5880, i=4.3017, Fr=-0.2242, Fs=1.0000, Fw=1.0000, reward=983.122
[t=2352000.0s] a=32479, e=0.5878, i=4.2817, Fr=-0.1024, Fs=1.0000, Fw=1.0000, reward=979.439
[t=2364000.0s] a=32596, e=0.5872, i=4.3796, Fr=-0.0151, Fs=1.0000, Fw=-0.7505, reward=912.952
[t=2376000.0s] a=32624, e=0.5842, i=4.5759, Fr=0.3276, Fs=1.0000, Fw=0.9384, reward=856.240
[t=2388000.0s] a=32655, e=0.5813, i=4.7309, Fr=0.0379, Fs=1.0000, Fw=1.0000, reward=912.260
[t=2400000.0s] a=32939, e=0.5839, i=4.8107, Fr=-0.5993, Fs=1.0000, Fw=-0.7416, reward=858.304
[t=2412000.0s] a=33081, e=0.5850, i=4.7993, Fr=1.0000, Fs=0.0044, Fw=-0.0318, reward=7.012
[t=2424000.0s] a=33109, e=0.5827, i=4.9213, Fr=1.0000, Fs=1.0000, Fw=0.0191, reward=503.116
[t=2436000.0s] a=33141, e=0.5797, i=5.0972, Fr=-0.7360, Fs=0.2260, Fw=1.0000, reward=491.917
[t=2448000.0s] a=33277, e=0.5786, i=5.2522, Fr=0.0178, Fs=1.0000, Fw=1.0000, reward=915.992
[t=2460000.0s] a=33452, e=0.5794, i=5.3159, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=992.933
[t=2472000.0s] a=33576, e=0.5801, i=5.3096, Fr=0.0842, Fs=1.0000, Fw=1.0000, reward=961.383
[t=2484000.0s] a=33751, e=0.5802, i=5.4338, Fr=0.1426, Fs=1.0000, Fw=1.0000, reward=895.792
[t=2496000.0s] a=33784, e=0.5771, i=5.6337, Fr=-1.0000, Fs=1.0000, Fw=0.6076, reward=729.451
[t=2508000.0s] a=33834, e=0.5745, i=5.8469, Fr=-1.0000, Fs=1.0000, Fw=-0.3148, reward=665.228
[t=2520000.0s] a=33963, e=0.5741, i=5.9117, Fr=-0.9813, Fs=0.0983, Fw=0.3426, reward=208.643
[t=2532000.0s] a=34075, e=0.5747, i=5.8925, Fr=-0.7721, Fs=1.0000, Fw=1.0000, reward=976.610
[t=2544000.0s] a=34112, e=0.5727, i=6.0152, Fr=1.0000, Fs=0.0325, Fw=1.0000, reward=418.275
[t=2556000.0s] a=34117, e=0.5691, i=6.1948, Fr=-1.0000, Fs=1.0000, Fw=0.1884, reward=577.507
[t=2568000.0s] a=34201, e=0.5668, i=6.1567, Fr=-0.1486, Fs=1.0000, Fw=-0.1046, reward=542.211
[t=2580000.0s] a=34420, e=0.5677, i=6.0280, Fr=0.7450, Fs=1.0000, Fw=1.0000, reward=1026.055
[t=2592000.0s] a=34545, e=0.5685, i=6.0412, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=975.463
[t=2604000.0s] a=34789, e=0.5703, i=6.0000, Fr=0.7264, Fs=1.0000, Fw=1.0000, reward=1034.318
[t=2616000.0s] a=34851, e=0.5678, i=5.8047, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=1057.902
