
 ------------------------------------------------- 
[t=2136000.0s] a=30256, e=0.5957, i=3.4419, Fr=0.5123, Fs=1.0000, Fw=0.2642, reward=645.011
[t=2148000.0s] a=30311, e=0.5935, i=3.2948, Fr=0.6999, Fs=1.0000, Fw=0.3526, reward=694.132
[t=2160000.0s] a=30358, e=0.5922, i=3.2261, Fr=-0.2204, Fs=0.2243, Fw=-0.9223, reward=546.563
[t=2172000.0s] a=30462, e=0.5928, i=3.2620, Fr=0.7447, Fs=1.0000, Fw=-0.6885, reward=848.897
[t=2184000.0s] a=30637, e=0.5931, i=3.3608, Fr=1.0000, Fs=1.0000, Fw=0.3074, reward=628.761
[t=2196000.0s] a=30660, e=0.5902, i=3.4700, Fr=-1.0000, Fs=1.0000, Fw=0.7573, reward=820.599
[t=2208000.0s] a=30651, e=0.5873, i=3.5514, Fr=0.1208, Fs=1.0000, Fw=-0.8062, reward=911.841
[t=2220000.0s] a=30808, e=0.5888, i=3.5368, Fr=1.0000, Fs=1.0000, Fw=0.6848, reward=821.252
[t=2232000.0s] a=30735, e=0.5851, i=3.6442, Fr=-0.2023, Fs=1.0000, Fw=-0.8162, reward=950.167
[t=2244000.0s] a=30803, e=0.5831, i=3.8060, Fr=0.2921, Fs=1.0000, Fw=-0.2031, reward=612.473
[t=2256000.0s] a=30943, e=0.5824, i=3.9259, Fr=-1.0000, Fs=1.0000, Fw=-1.0000, reward=1025.747
[t=2268000.0s] a=31031, e=0.5821, i=3.9577, Fr=0.8132, Fs=0.1574, Fw=-0.5204, reward=328.387
[t=2280000.0s] a=30958, e=0.5792, i=3.9760, Fr=0.7580, Fs=1.0000, Fw=1.0000, reward=925.321
[t=2292000.0s] a=30950, e=0.5760, i=4.1146, Fr=-1.0000, Fs=1.0000, Fw=0.6340, reward=746.088
[t=2304000.0s] a=31023, e=0.5739, i=4.2655, Fr=0.3706, Fs=1.0000, Fw=1.0000, reward=904.125
[t=2316000.0s] a=31078, e=0.5721, i=4.3473, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=979.323
[t=2328000.0s] a=31370, e=0.5762, i=4.3337, Fr=-0.1802, Fs=1.0000, Fw=0.7209, reward=857.370
[t=2340000.0s] a=31342, e=0.5732, i=4.4339, Fr=-0.8881, Fs=1.0000, Fw=1.0000, reward=905.055
[t=2352000.0s] a=31397, e=0.5708, i=4.6177, Fr=-0.3953, Fs=1.0000, Fw=0.7532, reward=791.024
[t=2364000.0s] a=31476, e=0.5689, i=4.7731, Fr=0.5839, Fs=0.6421, Fw=1.0000, reward=748.803
[t=2376000.0s] a=31463, e=0.5662, i=4.8281, Fr=0.5245, Fs=1.0000, Fw=0.9845, reward=1004.047
[t=2388000.0s] a=31621, e=0.5677, i=4.8259, Fr=0.1449, Fs=1.0000, Fw=1.0000, reward=946.810
[t=2400000.0s] a=31665, e=0.5656, i=4.9557, Fr=-0.5725, Fs=1.0000, Fw=1.0000, reward=891.282
[t=2412000.0s] a=31726, e=0.5630, i=5.1299, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=893.167
[t=2424000.0s] a=31891, e=0.5630, i=5.2634, Fr=-1.0000, Fs=0.5469, Fw=1.0000, reward=722.256
[t=2436000.0s] a=32255, e=0.5681, i=5.2563, Fr=0.1460, Fs=1.0000, Fw=1.0000, reward=1011.182
[t=2448000.0s] a=32265, e=0.5663, i=5.3173, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=923.630
[t=2460000.0s] a=32343, e=0.5645, i=5.4781, Fr=-0.7097, Fs=1.0000, Fw=1.0000, reward=885.806
[t=2472000.0s] a=32447, e=0.5627, i=5.6809, Fr=-0.4386, Fs=1.0000, Fw=0.5085, reward=707.306
[t=2484000.0s] a=32637, e=0.5632, i=5.7668, Fr=0.5575, Fs=0.7803, Fw=0.8763, reward=828.549
[t=2496000.0s] a=32850, e=0.5656, i=5.7364, Fr=-0.4357, Fs=1.0000, Fw=1.0000, reward=993.191
[t=2508000.0s] a=32841, e=0.5632, i=5.8428, Fr=-0.8558, Fs=1.0000, Fw=-0.2719, reward=651.601
[t=2520000.0s] a=32896, e=0.5606, i=6.0199, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=897.185
[t=2532000.0s] a=32976, e=0.5584, i=6.1154, Fr=0.7666, Fs=1.0000, Fw=-0.1760, reward=586.453
[t=2544000.0s] a=33050, e=0.5568, i=6.0084, Fr=0.4462, Fs=1.0000, Fw=1.0000, reward=1035.748
[t=2556000.0s] a=33199, e=0.5581, i=5.9815, Fr=-0.0614, Fs=1.0000, Fw=-1.0000, reward=1022.295
[t=2568000.0s] a=33107, e=0.5539, i=6.0471, Fr=-0.9817, Fs=1.0000, Fw=1.0000, reward=1004.665
[t=2580000.0s] a=33136, e=0.5508, i=5.9240, Fr=0.6831, Fs=1.0000, Fw=1.0000, reward=1050.866
[t=2592000.0s] a=33251, e=0.5490, i=5.7241, Fr=-1.0000, Fs=1.0000, Fw=0.0061, reward=498.459
[t=2604000.0s] a=33333, e=0.5476, i=5.5665, Fr=-1.0000, Fs=1.0000, Fw=0.8901, reward=953.702
[t=2616000.0s] a=33656, e=0.5522, i=5.5715, Fr=0.7875, Fs=1.0000, Fw=0.3038, reward=631.947
