
 ------------------------------------------------- 
[t=2064000.0s] a=30401, e=0.6122, i=4.0384, Fr=-1.0000, Fs=1.0000, Fw=0.9481, reward=1017.286
[t=2076000.0s] a=30408, e=0.6102, i=3.9802, Fr=-0.5226, Fs=1.0000, Fw=0.4447, reward=716.772
[t=2088000.0s] a=30443, e=0.6096, i=3.9805, Fr=-0.7986, Fs=1.0000, Fw=1.0000, reward=1024.296
[t=2100000.0s] a=30425, e=0.6067, i=3.8604, Fr=-0.1130, Fs=1.0000, Fw=0.0454, reward=525.178
[t=2112000.0s] a=30442, e=0.6037, i=3.6815, Fr=-0.6245, Fs=1.0000, Fw=-0.7008, reward=767.682
[t=2124000.0s] a=30539, e=0.6026, i=3.5594, Fr=0.6017, Fs=1.0000, Fw=0.5943, reward=815.492
[t=2136000.0s] a=30763, e=0.6052, i=3.5533, Fr=-0.2034, Fs=1.0000, Fw=1.0000, reward=994.665
[t=2148000.0s] a=30740, e=0.6026, i=3.4956, Fr=-1.0000, Fs=1.0000, Fw=-1.0000, reward=921.115
[t=2160000.0s] a=30807, e=0.6007, i=3.3649, Fr=-0.1577, Fs=1.0000, Fw=1.0000, reward=1053.782
[t=2172000.0s] a=30892, e=0.5991, i=3.2206, Fr=-0.0884, Fs=1.0000, Fw=1.0000, reward=1045.496
[t=2184000.0s] a=31034, e=0.5997, i=3.1530, Fr=-0.6439, Fs=1.0000, Fw=0.2373, reward=614.487
[t=2196000.0s] a=31190, e=0.6010, i=3.1928, Fr=-0.8822, Fs=1.0000, Fw=-0.4947, reward=767.669
[t=2208000.0s] a=31159, e=0.5978, i=3.3086, Fr=1.0000, Fs=1.0000, Fw=0.2811, reward=609.778
[t=2220000.0s] a=31220, e=0.5954, i=3.4464, Fr=0.5270, Fs=1.0000, Fw=1.0000, reward=906.616
[t=2232000.0s] a=31202, e=0.5923, i=3.5566, Fr=0.6069, Fs=1.0000, Fw=-1.0000, reward=1023.720
[t=2244000.0s] a=31325, e=0.5931, i=3.5602, Fr=-1.0000, Fs=1.0000, Fw=0.1021, reward=556.464
[t=2256000.0s] a=31400, e=0.5923, i=3.6321, Fr=0.2631, Fs=1.0000, Fw=1.0000, reward=904.408
[t=2268000.0s] a=31500, e=0.5908, i=3.8039, Fr=-1.0000, Fs=0.4382, Fw=1.0000, reward=600.855
[t=2280000.0s] a=31518, e=0.5878, i=3.9475, Fr=1.0000, Fs=1.0000, Fw=-0.8049, reward=940.447
[t=2292000.0s] a=31568, e=0.5863, i=4.0311, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=998.353
[t=2304000.0s] a=31598, e=0.5856, i=4.0183, Fr=1.0000, Fs=1.0000, Fw=0.0591, reward=515.837
[t=2316000.0s] a=31497, e=0.5812, i=4.1297, Fr=-0.6285, Fs=1.0000, Fw=0.1860, reward=574.261
[t=2328000.0s] a=31544, e=0.5785, i=4.2791, Fr=0.0528, Fs=1.0000, Fw=1.0000, reward=886.365
[t=2340000.0s] a=31593, e=0.5762, i=4.3973, Fr=0.3887, Fs=1.0000, Fw=1.0000, reward=934.935
[t=2352000.0s] a=31701, e=0.5763, i=4.4258, Fr=-0.0565, Fs=1.0000, Fw=-0.1116, reward=550.774
[t=2364000.0s] a=31580, e=0.5723, i=4.4510, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=924.982
[t=2376000.0s] a=31648, e=0.5704, i=4.5913, Fr=0.2751, Fs=1.0000, Fw=1.0000, reward=885.687
[t=2388000.0s] a=31697, e=0.5677, i=4.7665, Fr=-0.6737, Fs=1.0000, Fw=0.5818, reward=729.183
[t=2400000.0s] a=31767, e=0.5661, i=4.8800, Fr=0.3088, Fs=1.0000, Fw=1.0000, reward=967.955
[t=2412000.0s] a=31997, e=0.5690, i=4.8680, Fr=0.6017, Fs=1.0000, Fw=1.0000, reward=995.395
[t=2424000.0s] a=31974, e=0.5662, i=4.9433, Fr=0.3109, Fs=1.0000, Fw=1.0000, reward=910.084
[t=2436000.0s] a=31963, e=0.5625, i=5.1248, Fr=0.7313, Fs=1.0000, Fw=0.2006, reward=576.781
[t=2448000.0s] a=32040, e=0.5604, i=5.3130, Fr=0.0579, Fs=1.0000, Fw=-0.7502, reward=907.361
[t=2460000.0s] a=32203, e=0.5609, i=5.3876, Fr=-0.3469, Fs=1.0000, Fw=1.0000, reward=996.365
[t=2472000.0s] a=32364, e=0.5625, i=5.3647, Fr=-0.4157, Fs=1.0000, Fw=0.8291, reward=892.739
[t=2484000.0s] a=32306, e=0.5585, i=5.5051, Fr=0.8925, Fs=1.0000, Fw=1.0000, reward=895.061
[t=2496000.0s] a=32343, e=0.5555, i=5.6767, Fr=-0.2499, Fs=1.0000, Fw=0.9122, reward=852.542
[t=2508000.0s] a=32345, e=0.5521, i=5.8525, Fr=0.0909, Fs=1.0000, Fw=-0.0893, reward=547.575
[t=2520000.0s] a=32621, e=0.5550, i=5.8807, Fr=0.3075, Fs=0.7600, Fw=1.0000, reward=897.770
[t=2532000.0s] a=32619, e=0.5534, i=5.8820, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=947.146
[t=2544000.0s] a=32522, e=0.5484, i=6.0145, Fr=0.1614, Fs=1.0000, Fw=1.0000, reward=891.809
[t=2556000.0s] a=32578, e=0.5456, i=6.1984, Fr=-0.9141, Fs=1.0000, Fw=1.0000, reward=936.679
[t=2568000.0s] a=32629, e=0.5430, i=6.0982, Fr=-0.3518, Fs=1.0000, Fw=1.0000, reward=1040.241
[t=2580000.0s] a=32765, e=0.5436, i=6.0200, Fr=-0.8226, Fs=1.0000, Fw=0.2925, reward=638.939
[t=2592000.0s] a=32878, e=0.5440, i=6.0863, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=999.008
