
 ------------------------------------------------- 
[t=1320000.0s] a=26419, e=0.6701, i=3.9370, Fr=-0.1572, Fs=1.0000, Fw=-1.0000, reward=1039.372
[t=1332000.0s] a=26400, e=0.6689, i=3.9590, Fr=1.0000, Fs=0.7172, Fw=0.4634, reward=579.960
[t=1344000.0s] a=26384, e=0.6674, i=3.9983, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=885.749
[t=1356000.0s] a=26412, e=0.6658, i=4.0930, Fr=-0.1394, Fs=1.0000, Fw=0.7534, reward=789.157
[t=1368000.0s] a=26422, e=0.6642, i=4.1563, Fr=0.7232, Fs=1.0000, Fw=1.0000, reward=972.515
[t=1380000.0s] a=26332, e=0.6619, i=4.1553, Fr=1.0000, Fs=1.0000, Fw=0.1364, reward=552.073
[t=1392000.0s] a=26319, e=0.6596, i=4.1981, Fr=1.0000, Fs=0.7568, Fw=-1.0000, reward=938.167
[t=1404000.0s] a=26393, e=0.6588, i=4.2904, Fr=-1.0000, Fs=1.0000, Fw=0.0394, reward=511.371
[t=1416000.0s] a=26632, e=0.6615, i=4.3135, Fr=0.9059, Fs=1.0000, Fw=0.6749, reward=836.865
[t=1428000.0s] a=26716, e=0.6616, i=4.3455, Fr=0.5763, Fs=1.0000, Fw=0.2108, reward=581.422
[t=1440000.0s] a=26752, e=0.6599, i=4.4466, Fr=0.7349, Fs=1.0000, Fw=-0.5893, reward=830.064
[t=1452000.0s] a=26750, e=0.6578, i=4.5059, Fr=1.0000, Fs=0.5551, Fw=1.0000, reward=730.859
[t=1464000.0s] a=26792, e=0.6577, i=4.5091, Fr=-0.7696, Fs=1.0000, Fw=0.2215, reward=604.675
[t=1476000.0s] a=26827, e=0.6565, i=4.5678, Fr=1.0000, Fs=1.0000, Fw=0.0744, reward=526.440
[t=1488000.0s] a=26853, e=0.6545, i=4.6199, Fr=0.5912, Fs=-0.3895, Fw=1.0000, reward=395.577
[t=1500000.0s] a=26959, e=0.6546, i=4.6666, Fr=0.2110, Fs=0.4513, Fw=1.0000, reward=728.045
[t=1512000.0s] a=27073, e=0.6554, i=4.6901, Fr=0.2294, Fs=1.0000, Fw=0.4566, reward=690.261
[t=1524000.0s] a=27045, e=0.6527, i=4.8012, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=876.748
[t=1536000.0s] a=27104, e=0.6514, i=4.8818, Fr=-0.2799, Fs=1.0000, Fw=0.0950, reward=538.193
[t=1548000.0s] a=27471, e=0.6562, i=4.8868, Fr=-0.0009, Fs=0.1743, Fw=1.0000, reward=593.449
