
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=792000.0s] a=8487, e=0.3296, goal_e=0.1917, Fr=-0.1939, Fs=-0.5154, reward=344.700
[t=804000.0s] a=8482, e=0.3323, goal_e=0.1917, Fr=0.1641, Fs=1.0000, reward=324.541
[t=816000.0s] a=8483, e=0.3352, goal_e=0.1917, Fr=-0.6320, Fs=0.0224, reward=325.807
[t=828000.0s] a=8478, e=0.3384, goal_e=0.1917, Fr=-0.9049, Fs=-0.1850, reward=305.396
[t=840000.0s] a=8482, e=0.3407, goal_e=0.1917, Fr=-1.0000, Fs=-0.6058, reward=317.401
[t=852000.0s] a=8481, e=0.3425, goal_e=0.1917, Fr=0.2855, Fs=1.0000, reward=310.289
[t=864000.0s] a=8469, e=0.3455, goal_e=0.1917, Fr=-1.0000, Fs=-1.0000, reward=256.938
[t=876000.0s] a=8486, e=0.3485, goal_e=0.1917, Fr=0.4149, Fs=1.0000, reward=320.772
[t=888000.0s] a=8490, e=0.3513, goal_e=0.1917, Fr=0.6192, Fs=1.0000, reward=528.732
[t=900000.0s] a=8496, e=0.3544, goal_e=0.1917, Fr=0.1790, Fs=-0.0738, reward=334.961
[t=912000.0s] a=8491, e=0.3567, goal_e=0.1917, Fr=-1.0000, Fs=0.2013, reward=324.241
[t=924000.0s] a=8490, e=0.3595, goal_e=0.1917, Fr=0.0811, Fs=-0.4371, reward=321.056
[t=936000.0s] a=8483, e=0.3615, goal_e=0.1917, Fr=-0.4805, Fs=0.2154, reward=299.698
[t=948000.0s] a=8486, e=0.3641, goal_e=0.1917, Fr=1.0000, Fs=-1.0000, reward=304.539
[t=960000.0s] a=8485, e=0.3654, goal_e=0.1917, Fr=0.8880, Fs=-0.0474, reward=502.097
[t=972000.0s] a=8509, e=0.3677, goal_e=0.1917, Fr=0.5794, Fs=-0.2997, reward=314.388
[t=984000.0s] a=8499, e=0.3701, goal_e=0.1917, Fr=0.1462, Fs=0.6355, reward=319.010
[t=996000.0s] a=8498, e=0.3716, goal_e=0.1917, Fr=-0.3440, Fs=-0.0310, reward=318.562
[t=1008000.0s] a=8513, e=0.3731, goal_e=0.1917, Fr=0.8513, Fs=-0.1195, reward=299.572
[t=1020000.0s] a=8509, e=0.3753, goal_e=0.1917, Fr=-1.0000, Fs=-1.0000, reward=304.734
[t=1032000.0s] a=8519, e=0.3780, goal_e=0.1917, Fr=1.0000, Fs=-0.3444, reward=275.394
[t=1044000.0s] a=8532, e=0.3803, goal_e=0.1917, Fr=0.1993, Fs=-0.5572, reward=217.988
[t=1056000.0s] a=8547, e=0.3826, goal_e=0.1917, Fr=0.5616, Fs=-1.0000, reward=126.972
[t=1068000.0s] a=8548, e=0.3853, goal_e=0.1917, Fr=-1.0000, Fs=0.0153, reward=120.062
[t=1080000.0s] a=8550, e=0.3863, goal_e=0.1917, Fr=0.1110, Fs=0.6118, reward=308.561
[t=1092000.0s] a=8555, e=0.3877, goal_e=0.1917, Fr=-1.0000, Fs=0.0322, reward=71.213
[t=1104000.0s] a=8562, e=0.3900, goal_e=0.1917, Fr=-0.1441, Fs=-0.3650, reward=31.709
