
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=780000.0s] a=8499, e=0.0685, goal_e=0.2334, Fr=0.0055, Fs=-0.8067, reward=-218.054
[t=792000.0s] a=8499, e=0.0718, goal_e=0.2334, Fr=-0.2670, Fs=-0.7482, reward=-412.058
[t=804000.0s] a=8496, e=0.0746, goal_e=0.2334, Fr=-1.0000, Fs=-0.4289, reward=-209.758
[t=816000.0s] a=8501, e=0.0772, goal_e=0.2334, Fr=-0.4685, Fs=-0.8408, reward=-402.530
[t=828000.0s] a=8487, e=0.0795, goal_e=0.2334, Fr=-1.0000, Fs=0.9968, reward=-224.880
[t=840000.0s] a=8483, e=0.0824, goal_e=0.2334, Fr=0.9139, Fs=1.0000, reward=-432.698
[t=852000.0s] a=8480, e=0.0853, goal_e=0.2334, Fr=-1.0000, Fs=0.4985, reward=-242.037
[t=864000.0s] a=8489, e=0.0881, goal_e=0.2334, Fr=0.7374, Fs=1.0000, reward=-400.138
[t=876000.0s] a=8480, e=0.0915, goal_e=0.2334, Fr=0.1041, Fs=-0.9475, reward=-430.860
[t=888000.0s] a=8495, e=0.0951, goal_e=0.2334, Fr=0.2931, Fs=-0.2294, reward=-168.106
[t=900000.0s] a=8496, e=0.0990, goal_e=0.2334, Fr=0.8636, Fs=-1.0000, reward=-362.203
[t=912000.0s] a=8490, e=0.1028, goal_e=0.2334, Fr=0.5373, Fs=-0.9979, reward=-166.504
[t=924000.0s] a=8489, e=0.1061, goal_e=0.2334, Fr=-1.0000, Fs=0.7356, reward=-162.561
[t=936000.0s] a=8477, e=0.1104, goal_e=0.2334, Fr=-0.4345, Fs=1.0000, reward=-401.917
[t=948000.0s] a=8487, e=0.1139, goal_e=0.2334, Fr=1.0000, Fs=-0.4248, reward=-152.982
[t=960000.0s] a=8491, e=0.1167, goal_e=0.2334, Fr=0.1381, Fs=-0.1839, reward=-309.193
[t=972000.0s] a=8501, e=0.1189, goal_e=0.2334, Fr=1.0000, Fs=-0.9655, reward=-116.026
[t=984000.0s] a=8504, e=0.1213, goal_e=0.2334, Fr=-1.0000, Fs=-0.2687, reward=-112.800
[t=996000.0s] a=8500, e=0.1240, goal_e=0.2334, Fr=-1.0000, Fs=0.3416, reward=-305.088
[t=1008000.0s] a=8501, e=0.1271, goal_e=0.2334, Fr=1.0000, Fs=1.0000, reward=-97.940
[t=1020000.0s] a=8497, e=0.1311, goal_e=0.2334, Fr=0.1905, Fs=-1.0000, reward=-90.221
[t=1032000.0s] a=8487, e=0.1347, goal_e=0.2334, Fr=1.0000, Fs=-1.0000, reward=-308.661
[t=1044000.0s] a=8478, e=0.1389, goal_e=0.2334, Fr=0.8423, Fs=-0.9137, reward=-138.441
[t=1056000.0s] a=8487, e=0.1411, goal_e=0.2334, Fr=0.0397, Fs=0.7430, reward=-91.375
[t=1068000.0s] a=8488, e=0.1446, goal_e=0.2334, Fr=-1.0000, Fs=-1.0000, reward=-80.264
