
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=264000.0s] a=8528, e=0.0096, goal_e=0.1988, Fr=-0.2838, Fs=-0.9045, reward=136.942
[t=276000.0s] a=8522, e=0.0082, goal_e=0.1988, Fr=0.5917, Fs=1.0000, reward=162.365
[t=288000.0s] a=8519, e=0.0066, goal_e=0.1988, Fr=-0.1468, Fs=-0.3887, reward=-210.878
[t=300000.0s] a=8530, e=0.0070, goal_e=0.1988, Fr=1.0000, Fs=-0.1735, reward=123.211
[t=312000.0s] a=8542, e=0.0076, goal_e=0.1988, Fr=-0.1180, Fs=-1.0000, reward=-328.644
[t=324000.0s] a=8547, e=0.0066, goal_e=0.1988, Fr=-1.0000, Fs=0.1638, reward=-363.990
[t=336000.0s] a=8540, e=0.0072, goal_e=0.1988, Fr=0.2384, Fs=-0.6932, reward=-310.879
[t=348000.0s] a=8545, e=0.0067, goal_e=0.1988, Fr=-0.4568, Fs=-0.3294, reward=46.221
[t=360000.0s] a=8553, e=0.0052, goal_e=0.1988, Fr=-0.9051, Fs=1.0000, reward=-21.076
[t=372000.0s] a=8559, e=0.0052, goal_e=0.1988, Fr=0.4850, Fs=0.9100, reward=-453.427
[t=384000.0s] a=8543, e=0.0037, goal_e=0.1988, Fr=0.5742, Fs=1.0000, reward=57.987
[t=396000.0s] a=8538, e=0.0030, goal_e=0.1988, Fr=0.8863, Fs=0.2975, reward=-309.670
[t=408000.0s] a=8524, e=0.0037, goal_e=0.1988, Fr=-0.2480, Fs=-0.7351, reward=-241.310
[t=420000.0s] a=8518, e=0.0032, goal_e=0.1988, Fr=1.0000, Fs=1.0000, reward=-218.253
[t=432000.0s] a=8510, e=0.0032, goal_e=0.1988, Fr=-1.0000, Fs=1.0000, reward=209.687
[t=444000.0s] a=8510, e=0.0029, goal_e=0.1988, Fr=-0.5384, Fs=-0.8262, reward=209.395
[t=456000.0s] a=8520, e=0.0019, goal_e=0.1988, Fr=0.7413, Fs=-0.5359, reward=-227.257
[t=468000.0s] a=8516, e=0.0021, goal_e=0.1988, Fr=1.0000, Fs=-0.1391, reward=-191.899
[t=480000.0s] a=8500, e=0.0020, goal_e=0.1988, Fr=1.0000, Fs=0.4089, reward=223.807
[t=492000.0s] a=8490, e=0.0009, goal_e=0.1988, Fr=1.0000, Fs=1.0000, reward=-191.598
[t=504000.0s] a=8482, e=0.0009, goal_e=0.1988, Fr=0.4039, Fs=0.4546, reward=180.654
[t=516000.0s] a=8487, e=0.0006, goal_e=0.1988, Fr=-1.0000, Fs=1.0000, reward=-201.498
[t=528000.0s] a=8477, e=0.0011, goal_e=0.1988, Fr=1.0000, Fs=-0.0868, reward=156.132
[t=540000.0s] a=8485, e=0.0009, goal_e=0.1988, Fr=-0.8160, Fs=0.4759, reward=189.697
[t=552000.0s] a=8488, e=0.0018, goal_e=0.1988, Fr=-0.6208, Fs=1.0000, reward=-196.402
[t=564000.0s] a=8502, e=0.0015, goal_e=0.1988, Fr=-1.0000, Fs=-0.3574, reward=-174.399
[t=576000.0s] a=8496, e=0.0021, goal_e=0.1988, Fr=-1.0000, Fs=0.3386, reward=220.624
[t=588000.0s] a=8497, e=0.0021, goal_e=0.1988, Fr=-1.0000, Fs=-1.0000, reward=-174.816
[t=600000.0s] a=8487, e=0.0018, goal_e=0.1988, Fr=0.9710, Fs=-0.7043, reward=-196.939
[t=612000.0s] a=8490, e=0.0018, goal_e=0.1988, Fr=0.1146, Fs=-0.6122, reward=-185.943
[t=624000.0s] a=8500, e=0.0014, goal_e=0.1988, Fr=-0.3444, Fs=-0.9305, reward=23.504
[t=636000.0s] a=8494, e=0.0018, goal_e=0.1988, Fr=1.0000, Fs=0.9450, reward=17.825
[t=648000.0s] a=8503, e=0.0016, goal_e=0.1988, Fr=-0.2758, Fs=-0.2339, reward=-171.698
[t=660000.0s] a=8496, e=0.0015, goal_e=0.1988, Fr=0.9033, Fs=0.2179, reward=-175.944
[t=672000.0s] a=8505, e=0.0022, goal_e=0.1988, Fr=-1.0000, Fs=1.0000, reward=219.460
[t=684000.0s] a=8501, e=0.0015, goal_e=0.1988, Fr=-0.2889, Fs=0.1685, reward=-150.686
