
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=768000.0s] a=8498, e=0.0989, goal_e=0.0025, Fr=-1.0000, Fs=1.0000, reward=-76.513
[t=780000.0s] a=8512, e=0.0975, goal_e=0.0025, Fr=-1.0000, Fs=-1.0000, reward=-95.984
[t=792000.0s] a=8521, e=0.0964, goal_e=0.0025, Fr=-0.0939, Fs=-0.7008, reward=-331.070
[t=804000.0s] a=8523, e=0.0959, goal_e=0.0025, Fr=1.0000, Fs=0.2428, reward=-338.782
[t=816000.0s] a=8517, e=0.0946, goal_e=0.0025, Fr=1.0000, Fs=0.8257, reward=-108.664
[t=828000.0s] a=8520, e=0.0942, goal_e=0.0025, Fr=-1.0000, Fs=0.1510, reward=-98.881
[t=840000.0s] a=8509, e=0.0942, goal_e=0.0025, Fr=1.0000, Fs=-0.4599, reward=-279.553
[t=852000.0s] a=8511, e=0.0937, goal_e=0.0025, Fr=0.2292, Fs=1.0000, reward=-281.893
[t=864000.0s] a=8521, e=0.0945, goal_e=0.0025, Fr=1.0000, Fs=-0.1573, reward=-126.735
[t=876000.0s] a=8515, e=0.0936, goal_e=0.0025, Fr=-0.5756, Fs=0.2874, reward=-94.824
[t=888000.0s] a=8504, e=0.0946, goal_e=0.0025, Fr=0.0789, Fs=0.2147, reward=-264.576
[t=900000.0s] a=8507, e=0.0945, goal_e=0.0025, Fr=0.3208, Fs=-0.7741, reward=-272.795
[t=912000.0s] a=8505, e=0.0937, goal_e=0.0025, Fr=-0.8064, Fs=0.9987, reward=-269.601
[t=924000.0s] a=8507, e=0.0934, goal_e=0.0025, Fr=0.1847, Fs=-0.5118, reward=-270.471
[t=936000.0s] a=8516, e=0.0929, goal_e=0.0025, Fr=1.0000, Fs=-0.6663, reward=-99.350
[t=948000.0s] a=8500, e=0.0915, goal_e=0.0025, Fr=1.0000, Fs=-1.0000, reward=-260.344
[t=960000.0s] a=8500, e=0.0915, goal_e=0.0025, Fr=1.0000, Fs=-0.1874, reward=-239.712
[t=972000.0s] a=8504, e=0.0900, goal_e=0.0025, Fr=-0.3704, Fs=0.0525, reward=-235.574
[t=984000.0s] a=8507, e=0.0880, goal_e=0.0025, Fr=-1.0000, Fs=1.0000, reward=-259.323
[t=996000.0s] a=8511, e=0.0881, goal_e=0.0025, Fr=0.0186, Fs=-0.3381, reward=-268.249
[t=1008000.0s] a=8508, e=0.0870, goal_e=0.0025, Fr=-0.0467, Fs=-1.0000, reward=-60.020
[t=1020000.0s] a=8505, e=0.0854, goal_e=0.0025, Fr=0.0750, Fs=0.0505, reward=-225.307
[t=1032000.0s] a=8496, e=0.0844, goal_e=0.0025, Fr=1.0000, Fs=0.7613, reward=-246.296
[t=1044000.0s] a=8503, e=0.0831, goal_e=0.0025, Fr=0.8535, Fs=-1.0000, reward=-42.807
[t=1056000.0s] a=8506, e=0.0826, goal_e=0.0025, Fr=0.8037, Fs=0.4615, reward=-246.123
[t=1068000.0s] a=8499, e=0.0819, goal_e=0.0025, Fr=1.0000, Fs=-0.0373, reward=-18.852
[t=1080000.0s] a=8503, e=0.0814, goal_e=0.0025, Fr=0.1124, Fs=0.1922, reward=-15.518
[t=1092000.0s] a=8500, e=0.0820, goal_e=0.0025, Fr=1.0000, Fs=-0.4785, reward=-38.927
[t=1104000.0s] a=8500, e=0.0812, goal_e=0.0025, Fr=0.1585, Fs=-1.0000, reward=-237.920
[t=1116000.0s] a=8495, e=0.0804, goal_e=0.0025, Fr=1.0000, Fs=0.2791, reward=-239.459
[t=1128000.0s] a=8510, e=0.0805, goal_e=0.0025, Fr=1.0000, Fs=0.2584, reward=-51.996
[t=1140000.0s] a=8516, e=0.0790, goal_e=0.0025, Fr=-0.5631, Fs=0.1919, reward=-249.448
[t=1152000.0s] a=8531, e=0.0780, goal_e=0.0025, Fr=-0.3379, Fs=0.2676, reward=-133.395
[t=1164000.0s] a=8522, e=0.0768, goal_e=0.0025, Fr=-1.0000, Fs=0.1915, reward=-92.651
[t=1176000.0s] a=8514, e=0.0765, goal_e=0.0025, Fr=-0.3908, Fs=1.0000, reward=-56.672
[t=1188000.0s] a=8495, e=0.0750, goal_e=0.0025, Fr=-1.0000, Fs=-0.0326, reward=-7.275
[t=1200000.0s] a=8491, e=0.0730, goal_e=0.0025, Fr=0.0947, Fs=-0.5236, reward=-229.810
[t=1212000.0s] a=8488, e=0.0716, goal_e=0.0025, Fr=-0.5437, Fs=0.2050, reward=-35.364
[t=1224000.0s] a=8489, e=0.0714, goal_e=0.0025, Fr=0.0068, Fs=-1.0000, reward=-34.394
[t=1236000.0s] a=8485, e=0.0693, goal_e=0.0025, Fr=-0.8188, Fs=-0.7741, reward=-244.891
[t=1248000.0s] a=8500, e=0.0685, goal_e=0.0025, Fr=-0.5386, Fs=-1.0000, reward=-10.385
[t=1260000.0s] a=8509, e=0.0661, goal_e=0.0025, Fr=-0.9995, Fs=-0.1008, reward=-198.153
[t=1272000.0s] a=8506, e=0.0653, goal_e=0.0025, Fr=0.8275, Fs=0.9999, reward=-211.098
[t=1284000.0s] a=8501, e=0.0636, goal_e=0.0025, Fr=1.0000, Fs=0.3867, reward=-0.671
[t=1296000.0s] a=8488, e=0.0618, goal_e=0.0025, Fr=1.0000, Fs=-0.6998, reward=-397.699
 FAILURE #5 of #5 episodes

 ------------------------------------------------- 
[t=12000.0s] a=8508, e=0.1560, goal_e=0.1024, Fr=-0.5571, Fs=0.3784, reward=6.434
[t=24000.0s] a=8510, e=0.1531, goal_e=0.1024, Fr=-0.3535, Fs=-1.0000, reward=3.212
[t=36000.0s] a=8510, e=0.1520, goal_e=0.1024, Fr=0.1134, Fs=-0.2180, reward=-190.543
[t=48000.0s] a=8491, e=0.1499, goal_e=0.1024, Fr=-1.0000, Fs=-0.5493, reward=14.133
[t=60000.0s] a=8501, e=0.1491, goal_e=0.1024, Fr=-0.2142, Fs=0.5603, reward=29.419
[t=72000.0s] a=8490, e=0.1474, goal_e=0.1024, Fr=-0.8489, Fs=0.2348, reward=16.230
[t=84000.0s] a=8499, e=0.1473, goal_e=0.1024, Fr=1.0000, Fs=-0.2605, reward=30.653
[t=96000.0s] a=8495, e=0.1459, goal_e=0.1024, Fr=-0.6161, Fs=-0.9302, reward=-170.334
[t=108000.0s] a=8502, e=0.1440, goal_e=0.1024, Fr=0.8568, Fs=-1.0000, reward=36.097
[t=120000.0s] a=8498, e=0.1412, goal_e=0.1024, Fr=0.7038, Fs=1.0000, reward=40.724
[t=132000.0s] a=8501, e=0.1395, goal_e=0.1024, Fr=-0.4156, Fs=-0.7609, reward=44.888
[t=144000.0s] a=8500, e=0.1382, goal_e=0.1024, Fr=-0.8918, Fs=-1.0000, reward=-153.812
[t=156000.0s] a=8507, e=0.1361, goal_e=0.1024, Fr=-1.0000, Fs=1.0000, reward=-157.496
[t=168000.0s] a=8511, e=0.1347, goal_e=0.1024, Fr=0.6071, Fs=-0.5639, reward=-164.063
[t=180000.0s] a=8509, e=0.1318, goal_e=0.1024, Fr=-0.0806, Fs=-0.6677, reward=44.794
[t=192000.0s] a=8525, e=0.1305, goal_e=0.1024, Fr=0.4625, Fs=1.0000, reward=-17.944
[t=204000.0s] a=8517, e=0.1284, goal_e=0.1024, Fr=1.0000, Fs=1.0000, reward=-179.385
[t=216000.0s] a=8517, e=0.1268, goal_e=0.1024, Fr=-0.6026, Fs=-0.6243, reward=-176.149
